osm_name,osm_lat,osm_lon,osm_full_id,station_cd,station_name,line_code,fr_code,match_level,confidence,reason
역삼,37.5008221,127.03696,node,0221,역삼,,,HIGH,0.98,exact_normalized
삼성,37.5088402,127.063143,node,0219,삼성,,,HIGH,0.98,exact_normalized
종합운동장,37.5110581,127.0737204,node,0218,종합운동장,,,LOW,0.65,multi_candidate_first
잠실새내,37.5115881,127.085571,node,0217,잠실새내,,,HIGH,0.98,exact_normalized
잠실,37.5132169,127.1001365,node,0216,잠실,,,LOW,0.65,multi_candidate_first
양천구청,37.512295,126.865945,node,0248,양천구청,,,HIGH,0.98,exact_normalized
신정네거리,37.5199831,126.8530463,node,0249,신정네거리,,,HIGH,0.98,exact_normalized
도림천,37.5144539,126.882684,node,0247,도림천,,,HIGH,0.98,exact_normalized
경찰병원,37.495401,127.1239038,node,0341,경찰병원,,,HIGH,0.98,exact_normalized
대청,37.4936283,127.0795515,node,0337,대청,,,HIGH,0.98,exact_normalized
학여울,37.4964975,127.0698841,node,0336,학여울,,,HIGH,0.98,exact_normalized
대치,37.4944743,127.0631933,node,0335,대치,,,HIGH,0.98,exact_normalized
매봉,37.4870692,127.046978,node,0333,매봉,,,HIGH,0.98,exact_normalized
남부터미널,37.484943,127.0163445,node,0331,남부터미널,,,HIGH,0.98,exact_normalized
잠원,37.5127513,127.0111504,node,0328,잠원,,,HIGH,0.98,exact_normalized
신사,37.5161089,127.0195159,node,0327,신사,,,LOW,0.65,multi_candidate_first
압구정,37.5261847,127.0284989,node,0326,압구정,,,HIGH,0.98,exact_normalized
금호,37.5479735,127.0159247,node,0324,금호,,,HIGH,0.98,exact_normalized
동대입구,37.5590607,127.005727,node,0322,동대입구,,,HIGH,0.98,exact_normalized
경복궁,37.5757924,126.973629,node,0317,경복궁,,,HIGH,0.98,exact_normalized
독립문,37.5745584,126.9578361,node,0316,독립문,,,HIGH,0.98,exact_normalized
무악재,37.5823172,126.9503501,node,0315,무악재,,,HIGH,0.98,exact_normalized
홍제,37.5886894,126.9442528,node,0314,홍제,,,HIGH,0.98,exact_normalized
녹번,37.6009733,126.9357307,node,0313,녹번,,,HIGH,0.98,exact_normalized
구파발,37.6368919,126.9188046,node,0310,구파발,,,HIGH,0.98,exact_normalized
대공원,37.4358034,127.0066085,node,1452,대공원,,,HIGH,0.98,exact_normalized
선바위,37.4518055,127.0021114,node,1450,선바위,,,HIGH,0.98,exact_normalized
불암산,37.670098,127.0789245,node,0409,불암산,,,HIGH,0.98,exact_normalized
쌍문,37.6484028,127.0345788,node,0413,쌍문,,,HIGH,0.98,exact_normalized
수유,37.6379932,127.0257229,node,0414,수유,,,HIGH,0.98,exact_normalized
미아,37.6264941,127.0261091,node,0415,미아,,,HIGH,0.98,exact_normalized
미아사거리,37.613185,127.0300915,node,0416,미아사거리,,,HIGH,0.98,exact_normalized
길음,37.6031599,127.0248525,node,0417,길음,,,HIGH,0.98,exact_normalized
혜화,37.5821381,127.0019525,node,0420,혜화,,,HIGH,0.98,exact_normalized
명동,37.5608977,126.9863762,node,0424,명동,,,HIGH,0.98,exact_normalized
회현,37.5586981,126.9784167,node,0425,회현,,,HIGH,0.98,exact_normalized
